hotel,fecha,nivel,cantidad
demo-costa,2024-10-09,Member (MRD),2
demo-costa,2024-10-09,Silver Elite (SLR),1
demo-costa,2024-10-09,Gold Elite (GLD),1
demo-costa,2024-10-09,Platinum Elite (PLT),4
demo-costa,2024-10-09,Titanium Elite (TTM),2
demo-centro,2024-10-10,Member (MRD),1
demo-centro,2024-10-10,Silver Elite (SLR),4
demo-centro,2024-10-10,Platinum Elite (PLT),4
demo-centro,2024-10-10,Titanium Elite (TTM),3
demo-costa,2024-10-10,Member (MRD),1
demo-costa,2024-10-10,Silver Elite (SLR),2
demo-costa,2024-10-10,Gold Elite (GLD),2
demo-costa,2024-10-10,Platinum Elite (PLT),1
demo-centro,2024-10-11,Silver Elite (SLR),4
demo-centro,2024-10-11,Platinum Elite (PLT),3
demo-costa,2024-10-11,Member (MRD),3
demo-costa,2024-10-11,Silver Elite (SLR),3
demo-costa,2024-10-11,Gold Elite (GLD),2
demo-costa,2024-10-11,Platinum Elite (PLT),4
demo-costa,2024-10-11,Titanium Elite (TTM),3
demo-centro,2024-10-12,Silver Elite (SLR),4
demo-centro,2024-10-12,Gold Elite (GLD),4
demo-centro,2024-10-12,Platinum Elite (PLT),4
demo-costa,2024-10-12,Member (MRD),1
demo-costa,2024-10-12,Silver Elite (SLR),1
demo-costa,2024-10-12,Gold Elite (GLD),1
demo-costa,2024-10-12,Platinum Elite (PLT),2
demo-costa,2024-10-12,Titanium Elite (TTM),4
demo-centro,2024-10-13,Silver Elite (SLR),3
demo-centro,2024-10-13,Gold Elite (GLD),4
demo-centro,2024-10-13,Platinum Elite (PLT),4
demo-centro,2024-10-13,Titanium Elite (TTM),3
demo-costa,2024-10-13,Member (MRD),1
demo-costa,2024-10-13,Silver Elite (SLR),4
demo-costa,2024-10-13,Gold Elite (GLD),2
demo-costa,2024-10-13,Platinum Elite (PLT),4
demo-costa,2024-10-13,Titanium Elite (TTM),2
demo-centro,2024-10-14,Member (MRD),3
demo-centro,2024-10-14,Silver Elite (SLR),1
demo-centro,2024-10-14,Gold Elite (GLD),3
demo-centro,2024-10-14,Titanium Elite (TTM),3
demo-costa,2024-10-14,Member (MRD),1
demo-costa,2024-10-14,Silver Elite (SLR),3
demo-costa,2024-10-14,Gold Elite (GLD),4
demo-costa,2024-10-14,Platinum Elite (PLT),4
demo-centro,2024-10-15,Member (MRD),1
demo-centro,2024-10-15,Silver Elite (SLR),1
demo-centro,2024-10-15,Platinum Elite (PLT),4
demo-costa,2024-10-15,Member (MRD),1
demo-costa,2024-10-15,Silver Elite (SLR),4
demo-costa,2024-10-15,Platinum Elite (PLT),4
demo-costa,2024-10-15,Titanium Elite (TTM),1
demo-centro,2024-10-16,Silver Elite (SLR),3
demo-centro,2024-10-16,Gold Elite (GLD),1
demo-centro,2024-10-16,Platinum Elite (PLT),4
demo-centro,2024-10-16,Titanium Elite (TTM),2
demo-costa,2024-10-16,Member (MRD),3
demo-costa,2024-10-16,Titanium Elite (TTM),2
demo-centro,2024-10-17,Member (MRD),1
demo-centro,2024-10-17,Silver Elite (SLR),1
demo-centro,2024-10-17,Gold Elite (GLD),4
demo-centro,2024-10-17,Platinum Elite (PLT),1
demo-centro,2024-10-17,Titanium Elite (TTM),1
demo-costa,2024-10-17,Member (MRD),3
demo-costa,2024-10-17,Silver Elite (SLR),4
demo-costa,2024-10-17,Gold Elite (GLD),1
demo-costa,2024-10-17,Platinum Elite (PLT),2
demo-costa,2024-10-17,Titanium Elite (TTM),3
demo-centro,2024-10-18,Silver Elite (SLR),4
demo-centro,2024-10-18,Gold Elite (GLD),3
demo-centro,2024-10-18,Platinum Elite (PLT),1
demo-centro,2024-10-18,Titanium Elite (TTM),2
demo-costa,2024-10-18,Member (MRD),2
demo-costa,2024-10-18,Silver Elite (SLR),3
demo-costa,2024-10-18,Gold Elite (GLD),1
demo-costa,2024-10-18,Platinum Elite (PLT),1
demo-costa,2024-10-18,Titanium Elite (TTM),1
demo-centro,2024-10-19,Member (MRD),1
demo-centro,2024-10-19,Silver Elite (SLR),3
demo-centro,2024-10-19,Platinum Elite (PLT),1
demo-centro,2024-10-19,Titanium Elite (TTM),1
demo-costa,2024-10-19,Member (MRD),3
demo-costa,2024-10-19,Silver Elite (SLR),3
demo-costa,2024-10-19,Gold Elite (GLD),3
demo-costa,2024-10-19,Platinum Elite (PLT),4
demo-costa,2024-10-19,Titanium Elite (TTM),3
demo-centro,2024-10-20,Member (MRD),4
demo-centro,2024-10-20,Silver Elite (SLR),1
demo-centro,2024-10-20,Gold Elite (GLD),1
demo-centro,2024-10-20,Titanium Elite (TTM),2
demo-costa,2024-10-20,Member (MRD),2
demo-costa,2024-10-20,Silver Elite (SLR),3
demo-costa,2024-10-20,Gold Elite (GLD),2
demo-costa,2024-10-20,Platinum Elite (PLT),2
demo-costa,2024-10-20,Titanium Elite (TTM),3
demo-centro,2024-10-21,Member (MRD),3
demo-centro,2024-10-21,Silver Elite (SLR),2
demo-centro,2024-10-21,Gold Elite (GLD),4
demo-centro,2024-10-21,Platinum Elite (PLT),3
demo-centro,2024-10-21,Titanium Elite (TTM),3
demo-costa,2024-10-21,Silver Elite (SLR),1
demo-costa,2024-10-21,Gold Elite (GLD),2
demo-costa,2024-10-21,Platinum Elite (PLT),3
demo-costa,2024-10-21,Titanium Elite (TTM),2
demo-centro,2024-10-22,Member (MRD),3
demo-centro,2024-10-22,Silver Elite (SLR),1
demo-centro,2024-10-22,Gold Elite (GLD),2
demo-centro,2024-10-22,Titanium Elite (TTM),1
demo-costa,2024-10-22,Member (MRD),2
demo-costa,2024-10-22,Silver Elite (SLR),3
demo-costa,2024-10-22,Gold Elite (GLD),3
demo-costa,2024-10-22,Platinum Elite (PLT),3
demo-costa,2024-10-22,Titanium Elite (TTM),2
demo-centro,2024-10-23,Member (MRD),3
demo-centro,2024-10-23,Gold Elite (GLD),2
demo-centro,2024-10-23,Platinum Elite (PLT),2
demo-centro,2024-10-23,Titanium Elite (TTM),3
demo-costa,2024-10-23,Silver Elite (SLR),2
demo-costa,2024-10-23,Gold Elite (GLD),3
demo-costa,2024-10-23,Titanium Elite (TTM),2
demo-centro,2024-10-24,Member (MRD),3
demo-centro,2024-10-24,Silver Elite (SLR),1
demo-centro,2024-10-24,Gold Elite (GLD),3
demo-costa,2024-10-24,Member (MRD),1
demo-costa,2024-10-24,Silver Elite (SLR),2
demo-costa,2024-10-24,Gold Elite (GLD),1
demo-costa,2024-10-24,Platinum Elite (PLT),1
demo-centro,2024-10-25,Member (MRD),1
demo-centro,2024-10-25,Silver Elite (SLR),4
demo-centro,2024-10-25,Gold Elite (GLD),4
demo-centro,2024-10-25,Titanium Elite (TTM),1
demo-costa,2024-10-25,Member (MRD),3
demo-costa,2024-10-25,Silver Elite (SLR),3
demo-costa,2024-10-25,Platinum Elite (PLT),1
demo-costa,2024-10-25,Titanium Elite (TTM),4
demo-centro,2024-10-26,Member (MRD),2
demo-centro,2024-10-26,Silver Elite (SLR),1
demo-centro,2024-10-26,Platinum Elite (PLT),3
demo-centro,2024-10-26,Titanium Elite (TTM),1
demo-costa,2024-10-26,Member (MRD),1
demo-costa,2024-10-26,Silver Elite (SLR),2
demo-costa,2024-10-26,Platinum Elite (PLT),3
demo-costa,2024-10-26,Titanium Elite (TTM),2
demo-centro,2024-10-27,Member (MRD),1
demo-centro,2024-10-27,Silver Elite (SLR),1
demo-centro,2024-10-27,Gold Elite (GLD),1
demo-centro,2024-10-27,Platinum Elite (PLT),1
demo-centro,2024-10-27,Titanium Elite (TTM),2
demo-costa,2024-10-27,Member (MRD),4
demo-costa,2024-10-27,Gold Elite (GLD),3
demo-costa,2024-10-27,Platinum Elite (PLT),4
demo-costa,2024-10-27,Titanium Elite (TTM),4
demo-centro,2024-10-28,Member (MRD),4
demo-centro,2024-10-28,Silver Elite (SLR),1
demo-centro,2024-10-28,Platinum Elite (PLT),4
demo-centro,2024-10-28,Titanium Elite (TTM),4
demo-costa,2024-10-28,Silver Elite (SLR),4
demo-costa,2024-10-28,Gold Elite (GLD),4
demo-costa,2024-10-28,Titanium Elite (TTM),2
demo-centro,2024-10-29,Member (MRD),3
demo-centro,2024-10-29,Silver Elite (SLR),4
demo-centro,2024-10-29,Gold Elite (GLD),4
demo-centro,2024-10-29,Platinum Elite (PLT),1
demo-centro,2024-10-29,Titanium Elite (TTM),2
demo-costa,2024-10-29,Member (MRD),1
demo-costa,2024-10-29,Silver Elite (SLR),4
demo-costa,2024-10-29,Platinum Elite (PLT),4
demo-costa,2024-10-29,Titanium Elite (TTM),2
demo-centro,2024-10-30,Member (MRD),4
demo-centro,2024-10-30,Silver Elite (SLR),3
demo-centro,2024-10-30,Gold Elite (GLD),2
demo-centro,2024-10-30,Titanium Elite (TTM),3
demo-costa,2024-10-30,Silver Elite (SLR),4
demo-costa,2024-10-30,Gold Elite (GLD),3
demo-costa,2024-10-30,Platinum Elite (PLT),2
demo-costa,2024-10-30,Titanium Elite (TTM),4
demo-centro,2024-10-31,Member (MRD),3
demo-centro,2024-10-31,Silver Elite (SLR),2
demo-centro,2024-10-31,Platinum Elite (PLT),4
demo-centro,2024-10-31,Titanium Elite (TTM),3
demo-costa,2024-10-31,Member (MRD),3
demo-costa,2024-10-31,Silver Elite (SLR),2
demo-costa,2024-10-31,Titanium Elite (TTM),3
demo-centro,2024-11-01,Member (MRD),1
demo-centro,2024-11-01,Silver Elite (SLR),4
demo-centro,2024-11-01,Gold Elite (GLD),4
demo-centro,2024-11-01,Platinum Elite (PLT),4
demo-centro,2024-11-01,Titanium Elite (TTM),3
demo-costa,2024-11-01,Member (MRD),2
demo-costa,2024-11-01,Silver Elite (SLR),3
demo-costa,2024-11-01,Gold Elite (GLD),2
demo-costa,2024-11-01,Platinum Elite (PLT),3
demo-costa,2024-11-01,Titanium Elite (TTM),3
demo-centro,2024-11-02,Member (MRD),4
demo-centro,2024-11-02,Silver Elite (SLR),4
demo-centro,2024-11-02,Gold Elite (GLD),1
demo-centro,2024-11-02,Platinum Elite (PLT),2
demo-centro,2024-11-02,Titanium Elite (TTM),3
demo-costa,2024-11-02,Member (MRD),3
demo-costa,2024-11-02,Silver Elite (SLR),3
demo-centro,2024-11-03,Silver Elite (SLR),2
demo-centro,2024-11-03,Gold Elite (GLD),2
demo-centro,2024-11-03,Platinum Elite (PLT),4
demo-centro,2024-11-03,Titanium Elite (TTM),1
demo-costa,2024-11-03,Member (MRD),1
demo-costa,2024-11-03,Silver Elite (SLR),4
demo-costa,2024-11-03,Gold Elite (GLD),2
demo-costa,2024-11-03,Platinum Elite (PLT),2
demo-costa,2024-11-03,Titanium Elite (TTM),1
demo-centro,2024-11-04,Silver Elite (SLR),1
demo-centro,2024-11-04,Gold Elite (GLD),1
demo-centro,2024-11-04,Platinum Elite (PLT),4
demo-centro,2024-11-04,Titanium Elite (TTM),2
demo-costa,2024-11-04,Member (MRD),4
demo-costa,2024-11-04,Silver Elite (SLR),4
demo-costa,2024-11-04,Gold Elite (GLD),3
demo-costa,2024-11-04,Platinum Elite (PLT),1
demo-centro,2024-11-05,Member (MRD),3
demo-centro,2024-11-05,Silver Elite (SLR),3
demo-centro,2024-11-05,Gold Elite (GLD),4
demo-centro,2024-11-05,Platinum Elite (PLT),1
demo-centro,2024-11-05,Titanium Elite (TTM),2
demo-costa,2024-11-05,Member (MRD),3
demo-costa,2024-11-05,Silver Elite (SLR),1
demo-costa,2024-11-05,Gold Elite (GLD),1
demo-costa,2024-11-05,Platinum Elite (PLT),3
demo-costa,2024-11-05,Titanium Elite (TTM),3
demo-centro,2024-11-06,Member (MRD),4
demo-centro,2024-11-06,Silver Elite (SLR),2
demo-centro,2024-11-06,Gold Elite (GLD),1
demo-centro,2024-11-06,Platinum Elite (PLT),2
demo-costa,2024-11-06,Member (MRD),1
demo-costa,2024-11-06,Silver Elite (SLR),3
demo-costa,2024-11-06,Gold Elite (GLD),4
demo-costa,2024-11-06,Platinum Elite (PLT),2
demo-costa,2024-11-06,Titanium Elite (TTM),2
demo-centro,2024-11-07,Silver Elite (SLR),2
demo-centro,2024-11-07,Gold Elite (GLD),3
demo-centro,2024-11-07,Platinum Elite (PLT),2
demo-centro,2024-11-07,Titanium Elite (TTM),4
demo-costa,2024-11-07,Member (MRD),3
demo-costa,2024-11-07,Silver Elite (SLR),1
demo-costa,2024-11-07,Gold Elite (GLD),4
demo-costa,2024-11-07,Platinum Elite (PLT),1
demo-costa,2024-11-07,Titanium Elite (TTM),2
demo-centro,2024-11-08,Member (MRD),4
demo-centro,2024-11-08,Gold Elite (GLD),3
demo-centro,2024-11-08,Titanium Elite (TTM),1
demo-costa,2024-11-08,Silver Elite (SLR),1
demo-costa,2024-11-08,Platinum Elite (PLT),2
demo-centro,2024-11-09,Member (MRD),3
demo-centro,2024-11-09,Gold Elite (GLD),2
demo-centro,2024-11-09,Platinum Elite (PLT),2
demo-centro,2024-11-09,Titanium Elite (TTM),4
demo-costa,2024-11-09,Member (MRD),4
demo-costa,2024-11-09,Silver Elite (SLR),4
demo-costa,2024-11-09,Gold Elite (GLD),1
demo-costa,2024-11-09,Titanium Elite (TTM),4
demo-centro,2024-11-10,Member (MRD),2
demo-centro,2024-11-10,Silver Elite (SLR),4
demo-centro,2024-11-10,Gold Elite (GLD),4
demo-centro,2024-11-10,Platinum Elite (PLT),2
demo-centro,2024-11-10,Titanium Elite (TTM),3
demo-costa,2024-11-10,Member (MRD),3
demo-costa,2024-11-10,Gold Elite (GLD),2
demo-costa,2024-11-10,Platinum Elite (PLT),4
demo-costa,2024-11-10,Titanium Elite (TTM),1
demo-centro,2024-11-11,Member (MRD),3
demo-centro,2024-11-11,Silver Elite (SLR),4
demo-centro,2024-11-11,Gold Elite (GLD),4
demo-centro,2024-11-11,Platinum Elite (PLT),3
demo-centro,2024-11-11,Titanium Elite (TTM),1
demo-costa,2024-11-11,Member (MRD),2
demo-costa,2024-11-11,Silver Elite (SLR),2
demo-costa,2024-11-11,Gold Elite (GLD),4
demo-costa,2024-11-11,Platinum Elite (PLT),1
demo-costa,2024-11-11,Titanium Elite (TTM),1
demo-centro,2024-11-12,Member (MRD),4
demo-centro,2024-11-12,Silver Elite (SLR),4
demo-centro,2024-11-12,Gold Elite (GLD),4
demo-centro,2024-11-12,Titanium Elite (TTM),4
demo-costa,2024-11-12,Silver Elite (SLR),1
demo-costa,2024-11-12,Gold Elite (GLD),3
demo-costa,2024-11-12,Platinum Elite (PLT),1
demo-costa,2024-11-12,Titanium Elite (TTM),1
demo-centro,2024-11-13,Member (MRD),3
demo-centro,2024-11-13,Silver Elite (SLR),4
demo-centro,2024-11-13,Gold Elite (GLD),3
demo-centro,2024-11-13,Platinum Elite (PLT),3
demo-centro,2024-11-13,Titanium Elite (TTM),2
demo-costa,2024-11-13,Silver Elite (SLR),3
demo-costa,2024-11-13,Gold Elite (GLD),4
demo-costa,2024-11-13,Platinum Elite (PLT),1
demo-centro,2024-11-14,Silver Elite (SLR),2
demo-centro,2024-11-14,Platinum Elite (PLT),3
demo-centro,2024-11-14,Titanium Elite (TTM),2
demo-costa,2024-11-14,Member (MRD),1
demo-costa,2024-11-14,Silver Elite (SLR),1
demo-costa,2024-11-14,Gold Elite (GLD),2
demo-costa,2024-11-14,Platinum Elite (PLT),3
demo-costa,2024-11-14,Titanium Elite (TTM),2
demo-centro,2024-11-15,Member (MRD),3
demo-centro,2024-11-15,Gold Elite (GLD),1
demo-centro,2024-11-15,Titanium Elite (TTM),2
demo-costa,2024-11-15,Member (MRD),1
demo-costa,2024-11-15,Silver Elite (SLR),4
demo-costa,2024-11-15,Gold Elite (GLD),3
demo-costa,2024-11-15,Platinum Elite (PLT),1
demo-costa,2024-11-15,Titanium Elite (TTM),1
demo-centro,2024-11-16,Silver Elite (SLR),1
demo-centro,2024-11-16,Gold Elite (GLD),3
demo-centro,2024-11-16,Titanium Elite (TTM),1
demo-costa,2024-11-16,Member (MRD),2
demo-costa,2024-11-16,Silver Elite (SLR),2
demo-costa,2024-11-16,Gold Elite (GLD),1
demo-costa,2024-11-16,Platinum Elite (PLT),2
demo-costa,2024-11-16,Titanium Elite (TTM),2
demo-centro,2024-11-17,Gold Elite (GLD),4
demo-centro,2024-11-17,Platinum Elite (PLT),1
demo-centro,2024-11-17,Titanium Elite (TTM),2
demo-costa,2024-11-17,Member (MRD),3
demo-costa,2024-11-17,Silver Elite (SLR),2
demo-costa,2024-11-17,Gold Elite (GLD),1
demo-costa,2024-11-17,Titanium Elite (TTM),3
demo-centro,2024-11-18,Member (MRD),1
demo-centro,2024-11-18,Silver Elite (SLR),1
demo-centro,2024-11-18,Platinum Elite (PLT),3
demo-centro,2024-11-18,Titanium Elite (TTM),3
demo-costa,2024-11-18,Member (MRD),4
demo-costa,2024-11-18,Titanium Elite (TTM),2
demo-centro,2024-11-19,Member (MRD),2
demo-centro,2024-11-19,Silver Elite (SLR),3
demo-centro,2024-11-19,Gold Elite (GLD),2
demo-centro,2024-11-19,Platinum Elite (PLT),1
demo-centro,2024-11-19,Titanium Elite (TTM),3
demo-costa,2024-11-19,Member (MRD),3
demo-costa,2024-11-19,Silver Elite (SLR),1
demo-costa,2024-11-19,Gold Elite (GLD),1
demo-costa,2024-11-19,Platinum Elite (PLT),2
demo-centro,2024-11-20,Member (MRD),2
demo-centro,2024-11-20,Gold Elite (GLD),2
demo-centro,2024-11-20,Platinum Elite (PLT),4
demo-centro,2024-11-20,Titanium Elite (TTM),2
demo-costa,2024-11-20,Member (MRD),4
demo-costa,2024-11-20,Silver Elite (SLR),3
demo-costa,2024-11-20,Gold Elite (GLD),4
demo-costa,2024-11-20,Platinum Elite (PLT),4
demo-costa,2024-11-20,Titanium Elite (TTM),1
demo-centro,2024-11-21,Member (MRD),4
demo-centro,2024-11-21,Silver Elite (SLR),4
demo-centro,2024-11-21,Gold Elite (GLD),1
demo-centro,2024-11-21,Platinum Elite (PLT),4
demo-centro,2024-11-21,Titanium Elite (TTM),2
demo-costa,2024-11-21,Member (MRD),3
demo-costa,2024-11-21,Silver Elite (SLR),4
demo-costa,2024-11-21,Gold Elite (GLD),1
demo-costa,2024-11-21,Titanium Elite (TTM),4
demo-centro,2024-11-22,Member (MRD),3
demo-centro,2024-11-22,Silver Elite (SLR),1
demo-centro,2024-11-22,Gold Elite (GLD),4
demo-centro,2024-11-22,Platinum Elite (PLT),4
demo-centro,2024-11-22,Titanium Elite (TTM),3
demo-costa,2024-11-22,Silver Elite (SLR),2
demo-costa,2024-11-22,Gold Elite (GLD),3
demo-costa,2024-11-22,Platinum Elite (PLT),2
demo-costa,2024-11-22,Titanium Elite (TTM),1
demo-centro,2024-11-23,Member (MRD),2
demo-centro,2024-11-23,Silver Elite (SLR),1
demo-centro,2024-11-23,Gold Elite (GLD),1
demo-centro,2024-11-23,Platinum Elite (PLT),3
demo-centro,2024-11-23,Titanium Elite (TTM),2
demo-costa,2024-11-23,Silver Elite (SLR),2
demo-costa,2024-11-23,Gold Elite (GLD),2
demo-costa,2024-11-23,Platinum Elite (PLT),3
demo-centro,2024-11-24,Member (MRD),1
demo-centro,2024-11-24,Silver Elite (SLR),2
demo-centro,2024-11-24,Gold Elite (GLD),2
demo-centro,2024-11-24,Platinum Elite (PLT),3
demo-costa,2024-11-24,Silver Elite (SLR),2
demo-costa,2024-11-24,Gold Elite (GLD),1
demo-costa,2024-11-24,Platinum Elite (PLT),2
demo-costa,2024-11-24,Titanium Elite (TTM),3
demo-centro,2024-11-25,Member (MRD),2
demo-centro,2024-11-25,Silver Elite (SLR),3
demo-centro,2024-11-25,Gold Elite (GLD),1
demo-centro,2024-11-25,Platinum Elite (PLT),2
demo-centro,2024-11-25,Titanium Elite (TTM),1
demo-costa,2024-11-25,Member (MRD),2
demo-costa,2024-11-25,Gold Elite (GLD),1
demo-costa,2024-11-25,Platinum Elite (PLT),2
demo-centro,2024-11-26,Member (MRD),2
demo-centro,2024-11-26,Silver Elite (SLR),4
demo-centro,2024-11-26,Titanium Elite (TTM),2
demo-costa,2024-11-26,Member (MRD),2
demo-costa,2024-11-26,Gold Elite (GLD),3
demo-costa,2024-11-26,Platinum Elite (PLT),3
demo-costa,2024-11-26,Titanium Elite (TTM),1
demo-centro,2024-11-27,Silver Elite (SLR),4
demo-centro,2024-11-27,Gold Elite (GLD),1
demo-centro,2024-11-27,Platinum Elite (PLT),1
demo-costa,2024-11-27,Silver Elite (SLR),1
demo-costa,2024-11-27,Gold Elite (GLD),1
demo-costa,2024-11-27,Platinum Elite (PLT),1
demo-costa,2024-11-27,Titanium Elite (TTM),3
demo-centro,2024-11-28,Member (MRD),4
demo-centro,2024-11-28,Gold Elite (GLD),4
demo-centro,2024-11-28,Platinum Elite (PLT),3
demo-costa,2024-11-28,Member (MRD),2
demo-costa,2024-11-28,Gold Elite (GLD),1
demo-costa,2024-11-28,Titanium Elite (TTM),2
demo-centro,2024-11-29,Member (MRD),3
demo-centro,2024-11-29,Gold Elite (GLD),4
demo-centro,2024-11-29,Platinum Elite (PLT),4
demo-centro,2024-11-29,Titanium Elite (TTM),2
demo-costa,2024-11-29,Gold Elite (GLD),3
demo-costa,2024-11-29,Platinum Elite (PLT),3
demo-costa,2024-11-29,Titanium Elite (TTM),1
demo-centro,2024-11-30,Member (MRD),1
demo-centro,2024-11-30,Gold Elite (GLD),2
demo-centro,2024-11-30,Platinum Elite (PLT),3
demo-costa,2024-11-30,Platinum Elite (PLT),1
demo-costa,2024-11-30,Titanium Elite (TTM),2
demo-centro,2024-12-01,Member (MRD),2
demo-centro,2024-12-01,Silver Elite (SLR),1
demo-centro,2024-12-01,Platinum Elite (PLT),4
demo-centro,2024-12-01,Titanium Elite (TTM),4
demo-costa,2024-12-01,Member (MRD),1
demo-costa,2024-12-01,Silver Elite (SLR),1
demo-costa,2024-12-01,Gold Elite (GLD),3
demo-costa,2024-12-01,Platinum Elite (PLT),2
demo-costa,2024-12-01,Titanium Elite (TTM),2
demo-centro,2024-12-02,Member (MRD),2
demo-centro,2024-12-02,Gold Elite (GLD),2
demo-centro,2024-12-02,Platinum Elite (PLT),4
demo-centro,2024-12-02,Titanium Elite (TTM),2
demo-costa,2024-12-02,Member (MRD),1
demo-costa,2024-12-02,Silver Elite (SLR),3
demo-costa,2024-12-02,Platinum Elite (PLT),2
demo-costa,2024-12-02,Titanium Elite (TTM),1
demo-centro,2024-12-03,Member (MRD),3
demo-centro,2024-12-03,Silver Elite (SLR),2
demo-centro,2024-12-03,Gold Elite (GLD),1
demo-centro,2024-12-03,Platinum Elite (PLT),1
demo-centro,2024-12-03,Titanium Elite (TTM),3
demo-costa,2024-12-03,Gold Elite (GLD),3
demo-costa,2024-12-03,Platinum Elite (PLT),1
demo-costa,2024-12-03,Titanium Elite (TTM),2
demo-centro,2024-12-04,Member (MRD),1
demo-centro,2024-12-04,Gold Elite (GLD),1
demo-centro,2024-12-04,Platinum Elite (PLT),1
demo-centro,2024-12-04,Titanium Elite (TTM),2
demo-costa,2024-12-04,Member (MRD),1
demo-costa,2024-12-04,Silver Elite (SLR),4
demo-costa,2024-12-04,Gold Elite (GLD),2
demo-costa,2024-12-04,Platinum Elite (PLT),2
demo-costa,2024-12-04,Titanium Elite (TTM),4
demo-centro,2024-12-05,Member (MRD),2
demo-centro,2024-12-05,Silver Elite (SLR),1
demo-centro,2024-12-05,Gold Elite (GLD),4
demo-centro,2024-12-05,Platinum Elite (PLT),4
demo-centro,2024-12-05,Titanium Elite (TTM),4
demo-costa,2024-12-05,Member (MRD),2
demo-costa,2024-12-05,Silver Elite (SLR),4
demo-costa,2024-12-05,Gold Elite (GLD),1
demo-costa,2024-12-05,Platinum Elite (PLT),2
demo-costa,2024-12-05,Titanium Elite (TTM),3
demo-centro,2024-12-06,Member (MRD),4
demo-centro,2024-12-06,Silver Elite (SLR),4
demo-centro,2024-12-06,Platinum Elite (PLT),4
demo-centro,2024-12-06,Titanium Elite (TTM),4
demo-costa,2024-12-06,Member (MRD),1
demo-costa,2024-12-06,Silver Elite (SLR),4
demo-costa,2024-12-06,Titanium Elite (TTM),4
demo-centro,2024-12-07,Member (MRD),1
demo-centro,2024-12-07,Silver Elite (SLR),1
demo-centro,2024-12-07,Gold Elite (GLD),2
demo-centro,2024-12-07,Platinum Elite (PLT),2
demo-centro,2024-12-07,Titanium Elite (TTM),4
demo-costa,2024-12-07,Gold Elite (GLD),4
demo-centro,2024-12-08,Member (MRD),1
demo-centro,2024-12-08,Silver Elite (SLR),3
demo-centro,2024-12-08,Gold Elite (GLD),4
demo-centro,2024-12-08,Platinum Elite (PLT),2
demo-centro,2024-12-08,Titanium Elite (TTM),4
demo-costa,2024-12-08,Member (MRD),1
demo-costa,2024-12-08,Silver Elite (SLR),2
demo-costa,2024-12-08,Platinum Elite (PLT),4
demo-costa,2024-12-08,Titanium Elite (TTM),3
demo-centro,2024-12-09,Member (MRD),3
demo-centro,2024-12-09,Silver Elite (SLR),1
demo-centro,2024-12-09,Gold Elite (GLD),1
demo-centro,2024-12-09,Platinum Elite (PLT),2
demo-centro,2024-12-09,Titanium Elite (TTM),2
demo-costa,2024-12-09,Member (MRD),2
demo-costa,2024-12-09,Silver Elite (SLR),3
demo-costa,2024-12-09,Platinum Elite (PLT),1
demo-centro,2024-12-10,Silver Elite (SLR),4
demo-centro,2024-12-10,Gold Elite (GLD),2
demo-centro,2024-12-10,Platinum Elite (PLT),3
demo-centro,2024-12-10,Titanium Elite (TTM),1
demo-costa,2024-12-10,Member (MRD),3
demo-costa,2024-12-10,Silver Elite (SLR),1
demo-costa,2024-12-10,Gold Elite (GLD),4
demo-costa,2024-12-10,Platinum Elite (PLT),1
demo-costa,2024-12-10,Titanium Elite (TTM),3
demo-centro,2024-12-11,Member (MRD),1
demo-centro,2024-12-11,Silver Elite (SLR),2
demo-centro,2024-12-11,Gold Elite (GLD),4
demo-centro,2024-12-11,Titanium Elite (TTM),2
demo-costa,2024-12-11,Member (MRD),3
demo-costa,2024-12-11,Silver Elite (SLR),4
demo-costa,2024-12-11,Gold Elite (GLD),4
demo-costa,2024-12-11,Platinum Elite (PLT),1
demo-costa,2024-12-11,Titanium Elite (TTM),2
demo-centro,2024-12-12,Member (MRD),4
demo-centro,2024-12-12,Silver Elite (SLR),4
demo-centro,2024-12-12,Gold Elite (GLD),4
demo-centro,2024-12-12,Platinum Elite (PLT),4
demo-centro,2024-12-12,Titanium Elite (TTM),1
demo-costa,2024-12-12,Silver Elite (SLR),3
demo-costa,2024-12-12,Gold Elite (GLD),3
demo-costa,2024-12-12,Platinum Elite (PLT),3
demo-costa,2024-12-12,Titanium Elite (TTM),3
demo-centro,2024-12-13,Member (MRD),1
demo-centro,2024-12-13,Silver Elite (SLR),3
demo-centro,2024-12-13,Gold Elite (GLD),3
demo-centro,2024-12-13,Platinum Elite (PLT),2
demo-centro,2024-12-13,Titanium Elite (TTM),1
demo-costa,2024-12-13,Member (MRD),1
demo-costa,2024-12-13,Silver Elite (SLR),3
demo-costa,2024-12-13,Gold Elite (GLD),4
demo-costa,2024-12-13,Platinum Elite (PLT),4
demo-costa,2024-12-13,Titanium Elite (TTM),1
demo-centro,2024-12-14,Member (MRD),1
demo-centro,2024-12-14,Silver Elite (SLR),3
demo-centro,2024-12-14,Platinum Elite (PLT),4
demo-costa,2024-12-14,Member (MRD),2
demo-costa,2024-12-14,Silver Elite (SLR),4
demo-costa,2024-12-14,Gold Elite (GLD),1
demo-costa,2024-12-14,Platinum Elite (PLT),4
demo-costa,2024-12-14,Titanium Elite (TTM),1
demo-centro,2024-12-15,Member (MRD),2
demo-centro,2024-12-15,Silver Elite (SLR),1
demo-centro,2024-12-15,Gold Elite (GLD),2
demo-centro,2024-12-15,Platinum Elite (PLT),4
