hotel,fecha_reporte,mes,noches,grupo,occ_pct,revenue,adr
demo-costa,2026-08-28,2026-10,2000,479,0.4762,320869.11,160.44
demo-centro,2026-08-29,2026-08,4281,1082,0.6486,739478.02,172.73
demo-costa,2026-08-29,2026-08,1758,377,0.4185,272162.97,154.83
demo-centro,2026-08-29,2026-09,4541,1008,0.688,800416.46,176.28
demo-costa,2026-08-29,2026-09,2112,437,0.503,335935.42,159.03
demo-centro,2026-08-29,2026-10,3739,964,0.5666,658647.59,176.14
demo-costa,2026-08-29,2026-10,2062,494,0.4909,330814.56,160.44
demo-centro,2026-08-30,2026-08,4325,1094,0.6554,747124.72,172.73
demo-costa,2026-08-30,2026-08,1750,375,0.4166,270936.38,154.83
demo-centro,2026-08-30,2026-09,4569,1015,0.6922,805343.54,176.28
demo-costa,2026-08-30,2026-09,2132,442,0.5077,339116.82,159.03
demo-centro,2026-08-30,2026-10,3827,986,0.5799,674156.63,176.14
demo-costa,2026-08-30,2026-10,2051,491,0.4884,329092.77,160.44
demo-centro,2026-08-31,2026-08,4249,1074,0.6438,734007.13,172.73
demo-costa,2026-08-31,2026-08,1727,370,0.4112,267394.89,154.83
demo-centro,2026-08-31,2026-09,4479,995,0.6786,789500.71,176.28
demo-costa,2026-08-31,2026-09,2074,429,0.4938,329850.03,159.03
demo-centro,2026-08-31,2026-10,3899,1005,0.5908,686781.37,176.14
demo-costa,2026-08-31,2026-10,2078,497,0.4948,333406.46,160.44
demo-centro,2026-09-01,2026-09,4511,1002,0.6835,795219.34,176.28
demo-costa,2026-09-01,2026-09,2098,434,0.4995,333662.82,159.03
demo-centro,2026-09-01,2026-10,3873,998,0.5867,682121.57,176.14
demo-costa,2026-09-01,2026-10,2080,498,0.4953,333766.22,160.44
demo-centro,2026-09-01,2026-11,2385,532,0.3613,418225.37,175.38
demo-costa,2026-09-01,2026-11,1466,305,0.349,239259.14,163.23
demo-centro,2026-09-02,2026-09,4551,1011,0.6896,802289.88,176.28
demo-costa,2026-09-02,2026-09,2125,440,0.506,337993.91,159.03
demo-centro,2026-09-02,2026-10,3797,979,0.5753,668816.57,176.14
demo-costa,2026-09-02,2026-10,2082,499,0.4958,334123.39,160.44
demo-centro,2026-09-02,2026-11,2321,518,0.3517,407044.63,175.38
demo-costa,2026-09-02,2026-11,1498,312,0.3567,244554.58,163.23
demo-centro,2026-09-03,2026-09,4667,1036,0.7071,822615.12,176.28
demo-costa,2026-09-03,2026-09,2150,445,0.5118,341853.25,159.03
demo-centro,2026-09-03,2026-10,3856,994,0.5842,679197.85,176.14
demo-costa,2026-09-03,2026-10,2059,493,0.4903,330390.27,160.44
demo-centro,2026-09-03,2026-11,2401,535,0.3637,421010.98,175.38
demo-costa,2026-09-03,2026-11,1462,304,0.3481,238643.8,163.23
demo-centro,2026-09-04,2026-09,4710,1046,0.7137,830306.86,176.28
demo-costa,2026-09-04,2026-09,2151,445,0.5122,342125.39,159.03
demo-centro,2026-09-04,2026-10,3947,1017,0.5981,695281.28,176.14
demo-costa,2026-09-04,2026-10,2064,494,0.4914,331136.1,160.44
demo-centro,2026-09-04,2026-11,2407,537,0.3647,422119.95,175.38
demo-costa,2026-09-04,2026-11,1489,310,0.3546,243106.22,163.23
demo-centro,2026-09-05,2026-09,4747,1054,0.7192,836721.64,176.28
demo-costa,2026-09-05,2026-09,2182,452,0.5194,346953.27,159.03
demo-centro,2026-09-05,2026-10,3891,1003,0.5895,685362.7,176.14
demo-costa,2026-09-05,2026-10,2096,502,0.4991,336354.99,160.44
demo-centro,2026-09-05,2026-11,2411,538,0.3652,422755.03,175.38
demo-costa,2026-09-05,2026-11,1474,307,0.351,240607.07,163.23
demo-centro,2026-09-06,2026-09,4748,1054,0.7195,837039.84,176.28
demo-costa,2026-09-06,2026-09,2158,447,0.5138,343149.48,159.03
demo-centro,2026-09-06,2026-10,3949,1018,0.5983,695552.55,176.14
demo-costa,2026-09-06,2026-10,2096,502,0.499,336245.18,160.44
demo-centro,2026-09-06,2026-11,2376,530,0.3601,416771.77,175.38
demo-costa,2026-09-06,2026-11,1516,315,0.3609,247428.52,163.23
demo-centro,2026-09-07,2026-09,4783,1062,0.7247,843119.42,176.28
demo-costa,2026-09-07,2026-09,2150,445,0.5118,341874.15,159.03
demo-centro,2026-09-07,2026-10,4019,1036,0.6089,707864.12,176.14
demo-costa,2026-09-07,2026-10,2134,511,0.5081,342421.06,160.44
demo-centro,2026-09-07,2026-11,2388,532,0.3617,418719.47,175.38
demo-costa,2026-09-07,2026-11,1507,314,0.3587,245915.19,163.23
demo-centro,2026-09-08,2026-09,4695,1043,0.7113,827566.22,176.28
demo-costa,2026-09-08,2026-09,2218,459,0.5281,352722.88,159.03
demo-centro,2026-09-08,2026-10,3990,1028,0.6046,702877.49,176.14
demo-costa,2026-09-08,2026-10,2148,514,0.5115,344676.16,160.44
demo-centro,2026-09-08,2026-11,2417,539,0.3662,423866.46,175.38
demo-costa,2026-09-08,2026-11,1509,314,0.3594,246361.05,163.23
demo-centro,2026-09-09,2026-09,4780,1061,0.7242,842535.94,176.28
demo-costa,2026-09-09,2026-09,2218,459,0.5281,352750.6,159.03
demo-centro,2026-09-09,2026-10,3978,1025,0.6027,700668.02,176.14
demo-costa,2026-09-09,2026-10,2122,508,0.5052,340432.06,160.44
demo-centro,2026-09-09,2026-11,2449,546,0.3711,429532.57,175.38
demo-costa,2026-09-09,2026-11,1538,320,0.3662,251050.08,163.23
demo-centro,2026-09-10,2026-09,4830,1073,0.7318,851392.31,176.28
demo-costa,2026-09-10,2026-09,2196,455,0.5229,349249.25,159.03
demo-centro,2026-09-10,2026-10,3973,1024,0.6019,699784.4,176.14
demo-costa,2026-09-10,2026-10,2122,508,0.5053,340497.9,160.44
demo-centro,2026-09-10,2026-11,2430,542,0.3682,426238.19,175.38
demo-costa,2026-09-10,2026-11,1548,322,0.3685,252658.45,163.23
demo-centro,2026-09-11,2026-09,4776,1061,0.7237,841960.67,176.28
demo-costa,2026-09-11,2026-09,2225,461,0.5299,353921.08,159.03
demo-centro,2026-09-11,2026-10,4016,1035,0.6086,707478.98,176.14
demo-costa,2026-09-11,2026-10,2170,519,0.5166,348114.7,160.44
demo-centro,2026-09-11,2026-11,2457,548,0.3722,430874.63,175.38
demo-costa,2026-09-11,2026-11,1545,321,0.3678,252155.7,163.23
demo-centro,2026-09-12,2026-09,4809,1068,0.7286,847705.3,176.28
demo-costa,2026-09-12,2026-09,2210,458,0.5263,351514.73,159.03
demo-centro,2026-09-12,2026-10,4066,1048,0.616,716143.38,176.14
demo-costa,2026-09-12,2026-10,2171,520,0.5169,348323.93,160.44
demo-centro,2026-09-12,2026-11,2485,554,0.3765,435809.59,175.38
demo-costa,2026-09-12,2026-11,1540,321,0.3667,251391.87,163.23
demo-centro,2026-09-13,2026-09,4843,1075,0.7338,853671.08,176.28
demo-costa,2026-09-13,2026-09,2222,460,0.529,353304.91,159.03
demo-centro,2026-09-13,2026-10,4083,1052,0.6186,719193.95,176.14
demo-costa,2026-09-13,2026-10,2181,522,0.5194,349989.96,160.44
demo-centro,2026-09-13,2026-11,2448,546,0.3709,429363.72,175.38
demo-costa,2026-09-13,2026-11,1554,323,0.3699,253586.64,163.23
demo-centro,2026-09-14,2026-09,4873,1082,0.7383,858948.06,176.28
demo-costa,2026-09-14,2026-09,2240,464,0.5333,356185.18,159.03
demo-centro,2026-09-14,2026-10,4102,1057,0.6215,722469.24,176.14
demo-costa,2026-09-14,2026-10,2194,525,0.5225,352063.89,160.44
demo-centro,2026-09-14,2026-11,2495,556,0.378,437567.32,175.38
demo-costa,2026-09-14,2026-11,1559,325,0.3713,254551.01,163.23
demo-centro,2026-09-15,2026-09,4899,1088,0.7422,863509.63,176.28
demo-costa,2026-09-15,2026-09,2257,467,0.5375,358980.51,159.03
demo-centro,2026-09-15,2026-10,4089,1054,0.6196,720335.97,176.14
demo-costa,2026-09-15,2026-10,2205,528,0.5249,353735.57,160.44
demo-centro,2026-09-15,2026-11,2491,556,0.3774,436846.91,175.38
demo-costa,2026-09-15,2026-11,1563,325,0.3721,255073.79,163.23
demo-centro,2026-09-16,2026-09,4917,1092,0.745,866731.41,176.28
demo-costa,2026-09-16,2026-09,2262,468,0.5385,359703.94,159.03
demo-centro,2026-09-16,2026-10,4099,1056,0.6211,722035.46,176.14
demo-costa,2026-09-16,2026-10,2198,526,0.5233,352664.5,160.44
demo-centro,2026-09-16,2026-11,2491,556,0.3775,436932.44,175.38
demo-costa,2026-09-16,2026-11,1567,326,0.3732,255828.7,163.23
demo-centro,2026-09-17,2026-09,4896,1087,0.7418,863052.67,176.28
demo-costa,2026-09-17,2026-09,2283,473,0.5435,363037.48,159.03
demo-centro,2026-09-17,2026-10,4115,1061,0.6235,724851.9,176.14
demo-costa,2026-09-17,2026-10,2208,528,0.5256,354208.64,160.44
demo-centro,2026-09-17,2026-11,2504,558,0.3794,439116.63,175.38
demo-costa,2026-09-17,2026-11,1586,330,0.3777,258940.78,163.23
demo-centro,2026-09-18,2026-09,4955,1100,0.7508,873467.13,176.28
demo-costa,2026-09-18,2026-09,2293,475,0.5461,364724.34,159.03
demo-centro,2026-09-18,2026-10,4147,1069,0.6284,730514.61,176.14
demo-costa,2026-09-18,2026-10,2231,534,0.5312,357973.65,160.44
demo-centro,2026-09-18,2026-11,2530,564,0.3834,443787.05,175.38
demo-costa,2026-09-18,2026-11,1580,329,0.3762,257891.66,163.23
demo-centro,2026-09-19,2026-09,4952,1100,0.7503,872928.51,176.28
demo-costa,2026-09-19,2026-09,2296,475,0.5467,365175.61,159.03
demo-centro,2026-09-19,2026-10,4158,1072,0.63,732426.8,176.14
demo-costa,2026-09-19,2026-10,2232,534,0.5314,358100.88,160.44
demo-centro,2026-09-19,2026-11,2527,564,0.3829,443172.86,175.38
demo-costa,2026-09-19,2026-11,1587,330,0.3779,259038.91,163.23
demo-centro,2026-09-20,2026-09,4970,1104,0.753,876054.38,176.28
demo-costa,2026-09-20,2026-09,2305,477,0.5488,366542.77,159.03
demo-centro,2026-09-20,2026-10,4183,1078,0.6338,736856.4,176.14
demo-costa,2026-09-20,2026-10,2242,537,0.5339,359770.71,160.44
demo-centro,2026-09-20,2026-11,2542,567,0.3852,445823.5,175.38
demo-costa,2026-09-20,2026-11,1602,333,0.3815,261565.25,163.23
demo-centro,2026-09-21,2026-09,4999,1110,0.7575,881273.28,176.28
demo-costa,2026-09-21,2026-09,2302,477,0.5481,366124.09,159.03
demo-centro,2026-09-21,2026-10,4195,1081,0.6356,738874.75,176.14
demo-costa,2026-09-21,2026-10,2243,537,0.5341,359922.94,160.44
demo-centro,2026-09-21,2026-11,2559,571,0.3877,448760.85,175.38
demo-costa,2026-09-21,2026-11,1598,333,0.3805,260884.88,163.23
demo-centro,2026-09-22,2026-09,5033,1118,0.7626,887243.12,176.28
demo-costa,2026-09-22,2026-09,2322,481,0.5528,369219.25,159.03
demo-centro,2026-09-22,2026-10,4218,1087,0.639,742914.85,176.14
demo-costa,2026-09-22,2026-10,2262,542,0.5386,362967.7,160.44
demo-centro,2026-09-22,2026-11,2563,572,0.3883,449432.21,175.38
demo-costa,2026-09-22,2026-11,1609,335,0.3832,262675.42,163.23
demo-centro,2026-09-23,2026-09,5050,1121,0.7652,890195.33,176.28
demo-costa,2026-09-23,2026-09,2330,482,0.5548,370554.85,159.03
demo-centro,2026-09-23,2026-10,4238,1092,0.6421,746465.4,176.14
demo-costa,2026-09-23,2026-10,2268,543,0.5399,363852.57,160.44
demo-centro,2026-09-23,2026-11,2579,575,0.3908,452350.72,175.38
demo-costa,2026-09-23,2026-11,1617,337,0.3851,264017.53,163.23
demo-centro,2026-09-24,2026-09,5062,1124,0.767,892312.71,176.28
demo-costa,2026-09-24,2026-09,2336,484,0.5561,371465.17,159.03
demo-centro,2026-09-24,2026-10,4250,1095,0.6439,748573.67,176.14
demo-costa,2026-09-24,2026-10,2277,545,0.5423,365404.11,160.44
demo-centro,2026-09-24,2026-11,2584,576,0.3915,453194.73,175.38
demo-costa,2026-09-24,2026-11,1622,338,0.3862,264776.2,163.23
demo-centro,2026-09-25,2026-09,5084,1129,0.7703,896182.3,176.28
demo-costa,2026-09-25,2026-09,2347,486,0.5588,373244.05,159.03
demo-centro,2026-09-25,2026-10,4268,1100,0.6467,751784.34,176.14
demo-costa,2026-09-25,2026-10,2285,547,0.544,366614.07,160.44
demo-centro,2026-09-25,2026-11,2596,579,0.3933,455284.04,175.38
demo-costa,2026-09-25,2026-11,1629,339,0.3879,265897.59,163.23
